Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Register Login,,,,2023-05-07 19:26:33,2023-05-07 19:29:13,2m - 39.968s,FAILED
,,,,,,,
Test Cases/Android/Register/Register Success,,,,2023-05-07 19:26:33,2023-05-07 19:27:10,36.744s,PASSED
Common.setGVariable(),,,,2023-05-07 19:26:33,2023-05-07 19:26:34,0.165s,PASSED
Common.startApp(),,,,2023-05-07 19:26:34,2023-05-07 19:26:46,12.873s,PASSED
"comment(""Case : Register Success"")",,,,2023-05-07 19:26:46,2023-05-07 19:26:47,0.024s,PASSED
"comment(""Step : Tap link to page register"")",,,,2023-05-07 19:26:47,2023-05-07 19:26:47,0.004s,PASSED
"tap(findTestObject(""Object Repository/Android/Login/TextView - Register""), 0)",,,,2023-05-07 19:26:47,2023-05-07 19:26:47,0.539s,PASSED
"comment(""Step : Tap field Name and set value"")",,,,2023-05-07 19:26:47,2023-05-07 19:26:47,0.004s,PASSED
register.setName(G_name),,,,2023-05-07 19:26:47,2023-05-07 19:26:51,3.860s,PASSED
"comment(""Step : Tap field Email and set value"")",,,,2023-05-07 19:26:51,2023-05-07 19:26:51,0.005s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:26:51,2023-05-07 19:26:54,3.015s,PASSED
"comment(""Step : Tap field Password and set value"")",,,,2023-05-07 19:26:54,2023-05-07 19:26:54,0.004s,PASSED
register.setPassword(G_password),,,,2023-05-07 19:26:54,2023-05-07 19:26:59,4.727s,PASSED
"comment(""Step : Tap field Confirm Password and set value"")",,,,2023-05-07 19:26:59,2023-05-07 19:26:59,0.003s,PASSED
register.setConfirmPassword(G_password),,,,2023-05-07 19:26:59,2023-05-07 19:27:04,5.503s,PASSED
"comment(""Step : Tap button Register to confirm"")",,,,2023-05-07 19:27:04,2023-05-07 19:27:04,0.002s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:27:04,2023-05-07 19:27:04,0.256s,PASSED
"comment(""Step : Check toast confirm registration failed - email already exists"")",,,,2023-05-07 19:27:04,2023-05-07 19:27:04,0.004s,PASSED
register.checkToastStatus(),,,,2023-05-07 19:27:04,2023-05-07 19:27:10,5.249s,PASSED
"comment(""Step : Check toast confirm registration successful"")",,,,2023-05-07 19:27:10,2023-05-07 19:27:10,0.002s,PASSED
register.checkToastRegisterSuccess(),,,,2023-05-07 19:27:10,2023-05-07 19:27:10,0.175s,PASSED
,,,,,,,
Test Cases/Android/Register/Register Failed,,,,2023-05-07 19:27:10,2023-05-07 19:28:24,1m - 14.351s,FAILED
Common.startApp(),,,,2023-05-07 19:27:10,2023-05-07 19:27:22,11.120s,PASSED
"comment(""Step : Tap link to page register"")",,,,2023-05-07 19:27:22,2023-05-07 19:27:22,0.002s,PASSED
"tap(findTestObject(""Object Repository/Android/Login/TextView - Register""), 0)",,,,2023-05-07 19:27:22,2023-05-07 19:27:22,0.433s,PASSED
